Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,TSLA
2024-12-19,248.66534423828125,223.2899932861328,42.39802932739258,187.77456665039062,228.1307373046875,594.1820678710938,433.8297119140625,90.2040023803711,130.6442413330078,436.1700134277344
2024-12-20,253.3441925048828,224.9199981689453,43.170143127441406,190.6632843017578,232.67453002929688,583.8861083984375,433.40289306640625,90.90499877929688,134.6631622314453,421.05999755859375
2024-12-23,254.1206817626953,225.05999755859375,42.896484375,193.8707275390625,233.44813537597656,598.4520874023438,432.0627746582031,91.1449966430664,139.63180541992188,430.6000061035156
2024-12-24,257.0375061035156,229.0500030517578,43.37539291381836,195.34494018554688,237.28689575195312,606.3336791992188,436.11285400390625,93.21199798583984,140.18167114257812,462.2799987792969
2024-12-26,257.853759765625,227.0500030517578,43.541542053222656,194.83692932128906,238.0996856689453,601.9439697265625,434.9018249511719,92.41400146484375,139.89173889160156,454.1300048828125
2024-12-27,254.43922424316406,223.75,43.33629608154297,192.0080108642578,236.17051696777344,598.4122314453125,427.3773193359375,90.75499725341797,136.97251892089844,431.6600036621094
2024-12-30,251.06448364257812,221.3000030517578,42.91603088378906,190.49395751953125,234.35888671875,589.8621215820312,421.71905517578125,90.04299926757812,137.452392578125,417.4100036621094
2024-12-31,249.29251098632812,219.38999938964844,42.95512771606445,188.56150817871094,234.7407989501953,584.1455688476562,418.4134216308594,89.13200378417969,134.25328063964844,403.8399963378906
2025-01-02,242.75209045410156,220.22000122070312,43.28742980957031,188.69100952148438,235.02474975585938,597.843505859375,415.51483154296875,88.6729965209961,138.2721710205078,379.2799987792969
2025-01-03,242.2642822265625,224.19000244140625,43.79566192626953,191.0417938232422,238.2367706298828,603.220947265625,420.2499084472656,88.1050033569336,144.4304962158203,410.44000244140625
2025-01-06,243.8969268798828,227.61000061035156,44.3723030090332,196.10198974609375,237.0752716064453,628.7313842773438,424.7169494628906,88.17900085449219,149.38912963867188,411.04998779296875
2025-01-07,241.11947631835938,222.11000061035156,45.03691101074219,194.7273712158203,239.35890197753906,616.4500732421875,419.2770690917969,87.91899871826172,140.10166931152344,394.3599853515625
2025-01-08,241.60726928710938,222.1300048828125,45.16396713256836,193.19337463378906,239.3195343017578,609.2967529296875,421.4510498046875,87.5,140.07168579101562,394.94000244140625
2025-01-10,235.7836151123047,218.94000244140625,44.0888671875,191.2908172607422,236.11061096191406,614.4247436523438,415.8821105957031,83.76899719238281,135.8728485107422,394.739990234375
2025-01-13,233.34461975097656,218.4600067138672,44.03999710083008,190.2648162841797,240.38262939453125,606.912353515625,414.135009765625,84.02899932861328,133.19357299804688,403.30999755859375
2025-01-14,232.22967529296875,217.75999450683594,44.74370193481445,188.92010498046875,243.5915069580078,592.8651123046875,412.62615966796875,82.83999633789062,131.7239532470703,396.3599853515625
2025-01-15,236.7989959716797,223.35000610351562,46.03382110595703,194.78712463378906,248.39503479003906,615.6818237304688,423.188232421875,84.82599639892578,136.2027587890625,428.2200012207031
